CLOCK_REF  mono_ns=36352901455216  real_ns=1787630976728983784
WRITE  gpa=0x00000001034fa000  ts=36353299297170
WRITE  gpa=0x000000012652d000  ts=36353299300789
WRITE  gpa=0x0000000102982000  ts=36353299304199
WRITE  gpa=0x00000001029ab000  ts=36353299307469
WRITE  gpa=0x0000000102969000  ts=36353299310429
WRITE  gpa=0x0000000102994000  ts=36353299315699
WRITE  gpa=0x00000001251fb000  ts=36353299320219
WRITE  gpa=0x0000003f7fc06000  ts=36353299324269
WRITE  gpa=0x00000001002a4000  ts=36353299329139
WRITE  gpa=0x000000011f848000  ts=36353299332729
WRITE  gpa=0x0000000103584000  ts=36353299336339
WRITE  gpa=0x0000000102995000  ts=36353299340529
WRITE  gpa=0x000000010299c000  ts=36353299344969
WRITE  gpa=0x0000000102e5d000  ts=36353299348239
WRITE  gpa=0x000000010296a000  ts=36353299351899
WRITE  gpa=0x0000000102971000  ts=36353299356489
WRITE  gpa=0x0000000126477000  ts=36353299360699
WRITE  gpa=0x000000010292d000  ts=36353299369049
WRITE  gpa=0x0000000103637000  ts=36353299373569
WRITE  gpa=0x0000000102e1d000  ts=36353299378979
WRITE  gpa=0x0000000102e15000  ts=36353299382299
WRITE  gpa=0x000000011edbb000  ts=36353299392389
WRITE  gpa=0x0000000124310000  ts=36353299396879
WRITE  gpa=0x000000011f849000  ts=36353299400708
WRITE  gpa=0x00000001226cd000  ts=36353299404048
WRITE  gpa=0x000000012430f000  ts=36353299407668
WRITE  gpa=0x00000001002a5000  ts=36353299411788
WRITE  gpa=0x000000011ee6d000  ts=36353299416508
WRITE  gpa=0x000000011ed28000  ts=36353299420768
WRITE  gpa=0x000000010b990000  ts=36353299424568
WRITE  gpa=0x00000001029e8000  ts=36353299428428
WRITE  gpa=0x0000000104187000  ts=36353299432108
WRITE  gpa=0x00000003d69f4000  ts=36353299437778
WRITE  gpa=0x00000003d69f5000  ts=36353299440848
WRITE  gpa=0x0000000104b5b000  ts=36353299444058
WRITE  gpa=0x000000012b44a000  ts=36353299449508
WRITE  gpa=0x00000003d69f6000  ts=36353299453188
WRITE  gpa=0x00000003b8393000  ts=36353299456498
WRITE  gpa=0x000000010361d000  ts=36353299460028
WRITE  gpa=0x000000033ff5b000  ts=36353299465478
WRITE  gpa=0x00000001035e9000  ts=36353299469488
WRITE  gpa=0x0000000104b67000  ts=36353299473408
WRITE  gpa=0x00000003b8391000  ts=36353299476898
WRITE  gpa=0x000000010361e000  ts=36353299479408
WRITE  gpa=0x00000003d9d3d000  ts=36353299483968
WRITE  gpa=0x00000002fdfec000  ts=36353299490058
WRITE  gpa=0x00000001035e8000  ts=36353299495487
WRITE  gpa=0x00000001342e0000  ts=36353299500737
WRITE  gpa=0x00000001042bb000  ts=36353299507047
WRITE  gpa=0x0000000107249000  ts=36353299511807
WRITE  gpa=0x0000000114def000  ts=36353299518117
WRITE  gpa=0x0000000101fd6000  ts=36353299523807
WRITE  gpa=0x00000001342e6000  ts=36353299530467
WRITE  gpa=0x00000001342da000  ts=36353299533557
WRITE  gpa=0x0000000125bb9000  ts=36353299538627
WRITE  gpa=0x000000012c34e000  ts=36353299542997
WRITE  gpa=0x00000001342dd000  ts=36353299548367
WRITE  gpa=0x0000000327ccd000  ts=36353299554077
WRITE  gpa=0x0000000281529000  ts=36353299559987
WRITE  gpa=0x0000000103b50000  ts=36353299564437
WRITE  gpa=0x0000000123328000  ts=36353299567817
WRITE  gpa=0x000000011f948000  ts=36353299579637
WRITE  gpa=0x0000003f7fc3c000  ts=36353299584437
WRITE  gpa=0x0000000105f9c000  ts=36353299588477
WRITE  gpa=0x000000012232d000  ts=36353299593436
WRITE  gpa=0x00000001077f8000  ts=36353299596786
WRITE  gpa=0x00000001f553f000  ts=36353299603356
WRITE  gpa=0x000000011cc0f000  ts=36353299611666
WRITE  gpa=0x0000000122bdc000  ts=36353299615806
WRITE  gpa=0x000000011cea9000  ts=36353299618866
WRITE  gpa=0x0000000121a48000  ts=36353299622936
WRITE  gpa=0x0000000122a22000  ts=36353299626626
WRITE  gpa=0x00000001222fb000  ts=36353299630366
WRITE  gpa=0x00000001039e1000  ts=36353299635726
WRITE  gpa=0x000000010789c000  ts=36353299643356
WRITE  gpa=0x0000000107891000  ts=36353299646296
WRITE  gpa=0x0000000122c55000  ts=36353299649726
WRITE  gpa=0x00000001222c6000  ts=36353299654746
WRITE  gpa=0x00000003b8392000  ts=36353299664506
WRITE  gpa=0x0000000367672000  ts=36353299669956
WRITE  gpa=0x000000010ca17000  ts=36353299677036
WRITE  gpa=0x0000000117556000  ts=36353299685626
WRITE  gpa=0x0000000114c7c000  ts=36353299694265
WRITE  gpa=0x0000000107421000  ts=36353299698445
WRITE  gpa=0x0000000202ab7000  ts=36353299703755
WRITE  gpa=0x00000003d691a000  ts=36353299707735
WRITE  gpa=0x0000000104e56000  ts=36353299712585
WRITE  gpa=0x0000000104222000  ts=36353299718075
WRITE  gpa=0x00000003b8165000  ts=36353299722735
WRITE  gpa=0x0000000103b11000  ts=36353299727965
WRITE  gpa=0x00000003d6a9b000  ts=36353299732005
WRITE  gpa=0x00000003b657d000  ts=36353299736085
WRITE  gpa=0x00000003b6de8000  ts=36353299740295
WRITE  gpa=0x0000003ce5b7b000  ts=36353299745685
WRITE  gpa=0x0000003ce61aa000  ts=36353299749775
WRITE  gpa=0x0000003ce5a17000  ts=36353299753845
WRITE  gpa=0x0000000100db3000  ts=36353299756725
WRITE  gpa=0x000000010cb2a000  ts=36353299760645
WRITE  gpa=0x000000011f186000  ts=36353299764585
WRITE  gpa=0x0000000104a34000  ts=36353299768145
WRITE  gpa=0x000000011edc6000  ts=36353299772325
WRITE  gpa=0x0000000120858000  ts=36353299776745
WRITE  gpa=0x00000001208a4000  ts=36353299781785
WRITE  gpa=0x00000001208a5000  ts=36353299784825
WRITE  gpa=0x00000001208a6000  ts=36353299787315
WRITE  gpa=0x00000001208a7000  ts=36353299789794
WRITE  gpa=0x00000001208a8000  ts=36353299792184
WRITE  gpa=0x00000001208a9000  ts=36353299794764
WRITE  gpa=0x00000001208aa000  ts=36353299797374
WRITE  gpa=0x00000001208ab000  ts=36353299799704
WRITE  gpa=0x00000001208ac000  ts=36353299802554
WRITE  gpa=0x00000001208ad000  ts=36353299804834
WRITE  gpa=0x00000001208ae000  ts=36353299807194
WRITE  gpa=0x00000001208af000  ts=36353299809524
WRITE  gpa=0x00000001208b0000  ts=36353299811904
WRITE  gpa=0x00000001208b1000  ts=36353299814494
WRITE  gpa=0x00000001208b2000  ts=36353299816874
WRITE  gpa=0x00000001208b3000  ts=36353299819184
WRITE  gpa=0x000000011f11a000  ts=36353299821804
WRITE  gpa=0x000000010b839000  ts=36353299827414
WRITE  gpa=0x0000000100db4000  ts=36353299833884
